age,annual_income,employment_type,investment_horizon,risk_tolerance_score,financial_goal,dependents,tax_bracket,preferred_liquidity,investment_knowledge,recommended_product,recommended_product_full
46,393761,Salaried,19,9,Wealth Creation,3,<5L,Low,Intermediate,ELSS,Equity Linked Savings Scheme
59,590859,Salaried,4,1,Emergency,1,5–10L,Medium,Intermediate,NPS,National Pension System
24,457438,Salaried,17,8,Tax Saving,2,<5L,High,Beginner,ELSS,Equity Linked Savings Scheme
56,896910,Self-employed,8,9,Retirement,2,5–10L,Medium,Intermediate,ELSS,Equity Linked Savings Scheme
43,2064463,Retired,9,2,Emergency,1,>15L,High,Intermediate,NSC,National Savings Certificate
41,488317,Retired,11,10,Wealth Creation,3,<5L,High,Beginner,ELSS,Equity Linked Savings Scheme
40,1168773,Student,19,1,Emergency,0,10–15L,High,Beginner,NSC,National Savings Certificate
32,1891286,Self-employed,14,4,Tax Saving,2,>15L,High,Beginner,Combo,Mixed Investment Portfolio
29,370047,Student,20,1,Child Education,1,<5L,Medium,Intermediate,SSY,Sukanya Samriddhi Yojana
42,567784,Self-employed,20,5,Child Education,0,5–10L,High,Expert,SSY,Sukanya Samriddhi Yojana
32,782793,Self-employed,19,1,Tax Saving,2,5–10L,Low,Beginner,PPF,Public Provident Fund
38,1150756,Self-employed,16,2,Tax Saving,0,10–15L,High,Expert,NSC,National Savings Certificate
26,2407775,Self-employed,22,2,Wealth Creation,0,>15L,High,Expert,NSC,National Savings Certificate
54,2105962,Self-employed,22,4,Wealth Creation,0,>15L,Low,Beginner,PPF,Public Provident Fund
36,924367,Salaried,4,7,Emergency,0,5–10L,Low,Beginner,ELSS,Equity Linked Savings Scheme
37,1823703,Salaried,21,1,Wealth Creation,1,>15L,High,Intermediate,NPS,National Pension System
42,1284378,Student,14,6,Wealth Creation,1,10–15L,High,Intermediate,Combo,Mixed Investment Portfolio
40,777049,Salaried,23,10,Wealth Creation,1,5–10L,Medium,Expert,ELSS,Equity Linked Savings Scheme
56,331854,Salaried,13,6,Emergency,1,<5L,High,Expert,NPS,National Pension System
41,1781821,Retired,24,4,Emergency,0,>15L,High,Expert,Combo,Mixed Investment Portfolio
43,449479,Salaried,11,10,Tax Saving,2,<5L,Low,Beginner,ELSS,Equity Linked Savings Scheme
53,1040079,Self-employed,11,5,Child Education,1,10–15L,Medium,Expert,SSY,Sukanya Samriddhi Yojana
49,1278999,Self-employed,21,2,Tax Saving,2,10–15L,Medium,Intermediate,NSC,National Savings Certificate
38,1072455,Salaried,8,1,Wealth Creation,2,10–15L,High,Intermediate,NPS,National Pension System
59,1706101,Self-employed,17,6,Child Education,1,>15L,Low,Beginner,PPF,Public Provident Fund
38,522316,Self-employed,10,4,Child Education,2,5–10L,Low,Expert,PPF,Public Provident Fund
29,1777175,Salaried,20,8,Wealth Creation,1,>15L,Low,Expert,ELSS,Equity Linked Savings Scheme
38,2227691,Retired,10,5,Emergency,1,>15L,Medium,Intermediate,Combo,Mixed Investment Portfolio
45,1180623,Salaried,15,4,Child Education,2,10–15L,Medium,Beginner,NPS,National Pension System
30,911830,Self-employed,10,1,Emergency,1,5–10L,Low,Intermediate,PPF,Public Provident Fund
45,448351,Self-employed,9,6,Emergency,1,<5L,High,Beginner,Combo,Mixed Investment Portfolio
27,388898,Salaried,2,4,Retirement,1,<5L,Medium,Expert,NPS,National Pension System
25,1970628,Retired,12,5,Tax Saving,3,>15L,Low,Beginner,PPF,Public Provident Fund
26,1143590,Self-employed,22,6,Tax Saving,0,10–15L,Low,Beginner,PPF,Public Provident Fund
48,1431334,Self-employed,20,3,Wealth Creation,3,10–15L,Low,Beginner,PPF,Public Provident Fund
57,1886936,Retired,24,6,Child Education,2,>15L,Medium,Expert,SSY,Sukanya Samriddhi Yojana
41,576363,Retired,1,6,Emergency,3,5–10L,Low,Intermediate,Combo,Mixed Investment Portfolio
59,1171103,Self-employed,9,3,Wealth Creation,2,10–15L,Medium,Expert,NSC,National Savings Certificate
43,1748995,Retired,4,10,Wealth Creation,1,>15L,Low,Intermediate,ELSS,Equity Linked Savings Scheme
33,1337711,Self-employed,10,5,Emergency,1,10–15L,High,Expert,Combo,Mixed Investment Portfolio
55,970528,Self-employed,20,2,Wealth Creation,2,5–10L,Low,Beginner,PPF,Public Provident Fund
38,300503,Self-employed,21,1,Tax Saving,3,<5L,High,Expert,NSC,National Savings Certificate
32,2417332,Self-employed,10,6,Emergency,1,>15L,Low,Beginner,PPF,Public Provident Fund
37,839989,Self-employed,10,7,Child Education,0,5–10L,Low,Intermediate,ELSS,Equity Linked Savings Scheme
41,1781821,Retired,24,4,Emergency,0,>15L,High,Expert,Combo,Mixed Investment Portfolio
55,2122584,Retired,12,8,Emergency,0,>15L,Low,Intermediate,ELSS,Equity Linked Savings Scheme
59,1487834,Salaried,17,6,Emergency,0,10–15L,Medium,Beginner,NPS,National Pension System
34,2390692,Retired,9,2,Emergency,2,>15L,Low,Beginner,NSC,National Savings Certificate
50,875593,Self-employed,4,3,Child Education,0,5–10L,Medium,Beginner,SSY,Sukanya Samriddhi Yojana
41,639846,Self-employed,18,7,Tax Saving,3,5–10L,Low,Expert,ELSS,Equity Linked Savings Scheme
41,2026677,Self-employed,17,3,Tax Saving,3,>15L,High,Beginner,NSC,National Savings Certificate
52,811854,Self-employed,24,6,Tax Saving,3,5–10L,Medium,Beginner,Combo,Mixed Investment Portfolio
34,1911528,Self-employed,24,3,Retirement,3,>15L,Medium,Beginner,NPS,National Pension System
36,375427,Self-employed,15,4,Tax Saving,0,<5L,Medium,Beginner,Combo,Mixed Investment Portfolio
42,369468,Self-employed,23,5,Tax Saving,3,<5L,Medium,Beginner,Combo,Mixed Investment Portfolio
56,1429868,Salaried,23,8,Child Education,2,10–15L,High,Beginner,ELSS,Equity Linked Savings Scheme
53,1281153,Self-employed,24,2,Tax Saving,3,10–15L,Low,Expert,PPF,Public Provident Fund
45,850903,Self-employed,14,2,Wealth Creation,0,5–10L,Medium,Expert,NSC,National Savings Certificate
22,735926,Self-employed,13,2,Wealth Creation,1,5–10L,Medium,Intermediate,NSC,National Savings Certificate
44,1602776,Self-employed,23,2,Wealth Creation,0,>15L,High,Intermediate,NSC,National Savings Certificate
51,1001565,Salaried,12,1,Child Education,2,10–15L,Low,Intermediate,NPS,National Pension System
56,1465991,Self-employed,22,1,Tax Saving,2,10–15L,Medium,Beginner,NSC,National Savings Certificate
41,692235,Self-employed,3,4,Child Education,0,5–10L,Low,Expert,SSY,Sukanya Samriddhi Yojana
35,568889,Self-employed,17,5,Child Education,2,5–10L,High,Beginner,SSY,Sukanya Samriddhi Yojana
31,752822,Student,12,4,Child Education,1,5–10L,Low,Expert,PPF,Public Provident Fund
26,1815647,Salaried,15,4,Retirement,3,>15L,Medium,Intermediate,NPS,National Pension System
33,1828996,Self-employed,23,8,Tax Saving,1,>15L,High,Expert,ELSS,Equity Linked Savings Scheme
25,2372202,Salaried,9,8,Retirement,2,>15L,High,Intermediate,ELSS,Equity Linked Savings Scheme
24,419635,Student,17,6,Child Education,0,<5L,Medium,Intermediate,SSY,Sukanya Samriddhi Yojana
41,968586,Salaried,23,3,Wealth Creation,3,5–10L,High,Intermediate,NPS,National Pension System
37,855524,Self-employed,7,6,Child Education,0,5–10L,Low,Beginner,SSY,Sukanya Samriddhi Yojana
27,908856,Salaried,7,4,Retirement,0,5–10L,Low,Expert,NPS,National Pension System
44,1282453,Self-employed,2,5,Child Education,1,10–15L,High,Beginner,SSY,Sukanya Samriddhi Yojana
40,619109,Self-employed,9,5,Wealth Creation,0,5–10L,High,Expert,Combo,Mixed Investment Portfolio
50,1391144,Salaried,14,1,Child Education,1,10–15L,High,Beginner,NPS,National Pension System
59,2094284,Student,22,6,Child Education,3,>15L,Medium,Expert,SSY,Sukanya Samriddhi Yojana
33,302700,Self-employed,16,5,Emergency,2,<5L,Medium,Expert,Combo,Mixed Investment Portfolio
38,1023163,Self-employed,23,3,Tax Saving,0,10–15L,Medium,Expert,NSC,National Savings Certificate
41,1584179,Self-employed,16,2,Tax Saving,3,>15L,Low,Intermediate,PPF,Public Provident Fund
52,1655014,Student,16,1,Child Education,0,>15L,Low,Intermediate,PPF,Public Provident Fund
24,2008035,Salaried,21,8,Retirement,0,>15L,Medium,Beginner,ELSS,Equity Linked Savings Scheme
42,2017563,Student,10,2,Wealth Creation,1,>15L,Medium,Intermediate,NSC,National Savings Certificate
23,818571,Salaried,19,10,Wealth Creation,3,5–10L,Medium,Intermediate,ELSS,Equity Linked Savings Scheme
27,738946,Retired,17,3,Child Education,0,5–10L,Low,Intermediate,PPF,Public Provident Fund
50,862367,Self-employed,15,6,Tax Saving,0,5–10L,Medium,Expert,Combo,Mixed Investment Portfolio
51,1713066,Self-employed,9,1,Tax Saving,3,>15L,Medium,Intermediate,NSC,National Savings Certificate
43,1518851,Self-employed,17,1,Child Education,0,>15L,Low,Beginner,PPF,Public Provident Fund
39,2464951,Retired,2,5,Child Education,0,>15L,Medium,Expert,SSY,Sukanya Samriddhi Yojana
57,410737,Salaried,1,4,Retirement,2,<5L,High,Expert,NPS,National Pension System
26,404304,Salaried,1,1,Retirement,2,<5L,Low,Expert,NPS,National Pension System
32,1652762,Salaried,18,8,Tax Saving,3,>15L,High,Beginner,ELSS,Equity Linked Savings Scheme
